,gpa,act,sat1,test_score,ap_count,ap_mean,sat2_count,sat2_mean,urm,first_generation,ec_count,decision,gender_F,gender_M,school_brown,school_columbia,school_cornell,school_dukeres,school_harvard,school_mitres,school_penn,school_princeton,school_stanford,school_uchicago,school_yale,test_type_act,test_type_sat,ethnicity_african,ethnicity_asian,ethnicity_caucasian,ethnicity_hispanic,ethnicity_indian,ethnicity_urm,country_US,country_international
1,4.0,33.0,2237.40362087,2180,1.0,4.45675812368,1.0,800.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
3,4.0,35.0,2237.40362087,2330,2.0,4.45675812368,3.0,796.666666667,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
4,3.98,34.0,2237.40362087,2250,4.0,3.75,0.0,757.780283204,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
6,3.9,32.0,2237.40362087,2120,6.0,3.33333333333,0.0,757.780283204,1,0,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
8,3.98,36.0,2237.40362087,2390,7.0,4.28571428571,3.0,773.333333333,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
9,4.0,36.0,2237.40362087,2390,3.0,5.0,3.0,773.333333333,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
10,3.89,33.3991698374,2320.0,2320,0.0,4.45675812368,3.0,750.0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
12,4.0,32.0,2350.0,2350,1.0,3.0,2.0,770.0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0
13,4.0,33.0,2237.40362087,2180,7.0,3.57142857143,2.0,665.0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
15,4.0,33.0,2237.40362087,2180,6.0,4.83333333333,2.0,800.0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
16,4.0,32.0,2237.40362087,2120,4.0,4.25,1.0,710.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
18,3.8,36.0,2237.40362087,2390,3.0,4.66666666667,2.0,800.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
19,4.0,33.3991698374,2340.0,2340,4.0,4.75,4.0,792.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
21,4.0,32.0,2237.40362087,2120,1.0,4.0,0.0,757.780283204,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
23,3.97,33.3991698374,2350.0,2350,2.0,4.5,2.0,795.0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
24,4.0,33.0,1990.0,2180,4.0,3.75,3.0,680.0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
27,3.65,33.3991698374,2160.0,2160,0.0,4.45675812368,0.0,757.780283204,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
28,4.0,33.3991698374,2330.0,2330,2.0,4.5,3.0,753.333333333,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
29,4.0,35.0,2237.40362087,2330,0.0,4.45675812368,4.0,777.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
30,3.37,35.0,2010.0,2330,3.0,3.66666666667,0.0,757.780283204,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
31,3.98,33.3991698374,2380.0,2380,2.0,4.5,3.0,790.0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
32,3.9,35.0,2237.40362087,2330,2.0,4.5,4.0,747.5,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
33,3.92,36.0,2237.40362087,2390,1.0,5.0,3.0,780.0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
34,4.0,33.3991698374,2220.0,2220,2.0,4.5,2.0,790.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
36,4.0,34.0,2237.40362087,2250,1.0,5.0,2.0,750.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
37,4.0,34.0,2237.40362087,2250,5.0,3.2,2.0,760.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
38,1.0,34.0,2270.0,2270,4.0,4.75,1.0,740.0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
39,3.98,35.0,2150.0,2330,1.0,5.0,2.0,800.0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
40,4.0,35.0,2237.40362087,2330,1.0,5.0,2.0,800.0,0,0,4,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
41,3.9,35.0,2237.40362087,2330,7.0,4.85714285714,2.0,800.0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
43,4.0,33.3991698374,2400.0,2400,1.0,5.0,3.0,793.333333333,0,0,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
44,3.92,33.0,2150.0,2180,6.0,3.83333333333,5.0,732.0,0,0,4,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
45,3.89,36.0,2380.0,2390,2.0,4.5,3.0,773.333333333,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
46,4.0,34.0,2237.40362087,2250,5.0,4.8,2.0,760.0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
47,3.5,33.0,1910.0,2180,0.0,4.45675812368,0.0,757.780283204,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
48,4.0,36.0,2330.0,2390,5.0,4.6,3.0,796.666666667,0,0,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
