,act,ap,awards,comments,country,courseload,decision,essay,ethnicity,extracurriculars,gender,gpa,hooks,ib,income,interview,jobexp,otherschools,rank,sat1,sat2,schooltype,state,strengths,summer,volunteer,weaknesses,whydecision
0,34,"[5, 5, 5, 5, 5, 5, 5, 5]",None other than National AP Scholar / School awards,,,"All AP / Most Rigorous (AP Bio, AP Lit, AP Calc BC, AP Micro, AP US Gov, AP Physics, Band VI",R,"Common App 9/10, Harvard Essay: same thing I sent to yale that also got me rejected.. I thought it was good (it was the only essay I submitted to Dartmouth)",caucasian,"Band (Drum Major, 2 years), Clarinet, Piano, Composition (submitted Arts Supplement), Jazz Band, National Honor Society (Leadership Board past two years), Mu Alpha Theta (Vice President), Odyssey of the Mind (8 years, world finals three times).",M,4.0,None,0,130000,"My best one by far, my interviewer was so cool.",None,,0.00666666666667,2240,"[780, 770, 800]",Large Public,FL,"ECs, Essays","FSU Summer Band Camp, volunteering, stuff for school Band","Around 300 hours, hospital, church, etc. small things","Sat I Scores (kind of), No Hook… etc",not amazing
1,32,"[4, 3, 3, 4, 2, 1, 2, 4, 4, 5]","P Scholar; a state science competition 10th: 1st place 11th: 2nd place; a state photography competition 4 ribbons (1st, 2nd, 3rd, 3rd); local juried student photo competition finalist; winning a couple library photo contests;",Knew i wasn't going to get in..,,"Student assistant, AP Micro/APGov, APLit, AP Calc BC, AP Stats, AP spanish, AP bio",R,"really loved my commonapp about photography/radiology, opt: quirky funny intro about myself, supp: showed i stalked penn lol",asian,"Treasurer of Math hon. society(11th- member since9th); NHS member (11th-); a natl leadership/service org. (10th-member 11th-treas 12-hoping to be pres); quiz bowl competitor(11th-); Envirothon capt(11th-); Tech club (11th-) was financial advisor in a robot competition team, part of camera team in a hot air balloon mission; teen adivisory group(historian 10th-); volunteer photog at library; volunteer at hospital; volunteer plate scraper at this volunteer-run facility xD",F,3.96,,0,0,"easy, no hard questions, nothing special.",,"waitlisted at Penn, waiting on JHU in 5 minutes.. accepted to all the in-state florida public schools applied, and also University of South Carolina, University of Kentucky",0.00139275766017,2200,"[540, 640, 690]","public, usually doesn't send any ivies but this year there were a couple",FL,"I'm quirky, i stack golf balls hahah",National Beta Convention since 10th grade,see ECs,"I'm an Asian female looking to go into medicine -___-""","I'm asian without perfect stats.. lol one okay rec, bad sat II's.."
2,0,"[5, 5, 5, 5, 5, 5]",none,,,"Calc 3, AP Econ, AP Comp Sci, AP Lit, AP Gov, AP Physics",R,,asian,"Varsity Basketball, Golf, Lacrosse (captain), Student Body President, Volunteer stuff, too depressed to list more..bleh",M,3.74,none,0,400000,,,"Accepted Duke, Cornell, Columbia, Dartmouth, UCLA, UChicago Rejected: Harvard",0.0,2400,"[800, 800, 790]",Private (boarding),MA,scores,,,no major awards?,
3,0,"[5, 5, 5, 5]",Just a few local awards,"If I'm honest, I'm shocked, cannot believe it.  Columbia is my first choice Ivy, so I probably won't be attending Harvard, although I won't be making any final decisions until I've got all my outcome e-mails/letters.  Then I'll sit down and suss it out.",,"Stats, US History, US Gov and Psych (all honors towards AP). Anatomy and Physiology - Honors. Shakespeare/The 20th Century American Novel (each a one semester course). Journalism. Spanish VI - Honors. Photography. Senior Seminar.",A,Was really pleased with them. Had excellent feedback.,caucasian,"school newspaper (features writer), Gay Straight Alliance (secretary), Human Rights Action (founder), political debate club (vice-president), Christian Union (president), community service development (coordinator) and volleyball.",F,3.85,None,0,200000,"Yes - with local alumni. Was OK but found it hard to ""connect"" with the person.",None,"Accepted: USC, Berkeley, UCLA, Rice, SMU, Columbia (still in complete shock), Chicago, University of the Pacific (safety), Rejected: Yale, Likely letter: Duke, Still waiting: Stanford",0.04,2340,"[760, 800, 740]","Small, highly selective, non-denominational private in NorCal",CA,"Essays, recs and academic scores",Habitat for Humanity in New Orleans,"Extensive volunteering (food bank, homeless shelter, peer to peer etc). I have received the President's Volunteer Service Award at bronze and silver levels. Girl Scouts (Gold Award).","ECs are mainly non-academic, no major awards, not the best interview",Strength of essays and recs
4,0,0,None available,,"Chile, duh.","Phylosophy and Psychology, Math, Spanish, English (Foreign Lang.), History and Social Studies, (Spanish) Literature, Chemistry and Music.",R,"About how applying to the states was a significant experience, a challenge, an ethical dillema and an achievement, all in one and extracurriculars on how I've been working at my dad's.",,"Debate club (President, 1 year), Drama (2 years), Conversational English (2 years), Rock climbing (national champion during freshman year)",M,3.4,Int?,0,0,"Went great, he said he knew how to speak on my behalf and present a great case.","Have worked since 2004 at my dad's company in several positions, from accounting to marketing.",,0.1,1990,"[610, 650]",Private,,"Creativity, critical thinking, tenacity and leadership skills.","Working, UnTechoParaChile","Un Techo Para Chile (builiding emergency homes), 60 hours/week, 4 weeks a year during senior and post-graduate.","My numbers, need to be challenged or get bored.",Everything
5,36,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]","Various Olympiad/AMC/AIME awards, National Merit Finalist, National AP Scholar, various scholarships, leadership awards, volunteer awards, etc.",,,"Post-AP French Literature, AP Comp Gov, Linear Algebra, AP English Literature, AP Physics C, AP European History, AP Art History, Post-AP Latin",A,Excellent,caucasian,"Varsity Tennis (1st Singles 4 years, team captain 3 years), Varsity Boys Lacrosse (4 years, captain 2 years), Varsity Boys Soccer (4 years, co-captain 2 years), US Senate Page Program, Varsity Debate (4 years, qualified to Tournament of Champions twice, NFL Nationals three times, CFL Nationals 4 times), Mock Trial captain, Literary Magazine contributor and assistant editor, Violinist (local youth orchestra)",M,4.0,First generation,0,87500,Good,"Interned at state governor’s office for 2 summers, Interned at an attorney’s office, Worked at local ice cream store for four years",,0.00277777777778,2350,"[800, 800, 800, 800, 770, 770, 750, 740]",Public,NY,"Grades, awards, testing, rank, extracurriculars, essays.","Debate camp, volunteering, interning, reading, working, etc.","Volunteered at local nursing home since I was 9, reading to them, bringing my pet dog, taking care of them, playing music for them, talking to them, etc.",Essays were a bit specific so they could have been a hit or miss.,I’m surprised and so happy.
6,0,0,,"well, this really is rather depressive. And I have NO idea what to do now.",Belgium,,R,"I thought they were good, but apparantly not.",caucasian,"classically trained singer and pianist, did drama for nearly ten years, senior class president and valedictorian at my secondary school, writing (with a few things published in magazines). That's about it, I think.",F,0,"first generation, had a long term illness which means I'm applying pretty late in life (I'm 22) - but I guess that's a negative thing",0,0,didn't have one,,"rejected from Dartmouth, Brown and UChicago. I didn't get accepted anywhere (still waiting for Amherst).",0.0,2180,"[760, 800]",private,,I don't know. I thought the fact that I managed to graduate despite my bad health is pretty impressive,nothing impressive,I set up and manage two charity projects that have gained national attention and was a volunteer for another organisation for over 8 years,"just about everything, apparently.","my essays, the fact that I'm old, my secondary school grades (although I still think they were pretty impressive for someone who spent the year in hospital)"
7,31,"[5, 5]",Rotary Youth Leadership Award,,,"IB English, IB History of the Americas, IB Environmental Systems and Societies, IB Mathematics (Calc AB), IB French VI, Studio Photography, Journalism, IB TOK",R,"About my experience in Italy, and discovering an interest in Philosophy. I'd say it was pretty good.",caucasian,,M,4.0,"URM, parents did not graduate college",0,45000,none,,"Accepted Colorado College, Bowdoin, Colby, Princeton; rejected at Dartmouth and Harvard, waitlisted Yale",0.010152284264,2000,"[690, 800]",Medium-sized Public,Colorado,"High involvement, year abroad, grades",,,"ACT, SAT","I must have seemed like an interesting person to have around campus, but not quite academically there ..."
8,0,0,"Top 20 International Finalist in DECA, Qualified to Semi-Final round of Top 20 Under Twenty Canada Awards",,"CANADA!!! <span class=""Emoticon Emoticon4""><span>:D</span></span>",6 University-levels,R,"Really great, I think! One was about my Grandfather (Harvard grad) and how he impacted me before he passed away, and the other was about my trip to Kenya and how I plan to use the experience in my future.",caucasian,"DECA (Head of Media Relations ‘09-10, Treasurer ‘10-11, President ’11-12), Ontario Model Parliament (Minister of the Environment, Official Critic for Natural Resources),  Students Without Borders (Senior Member, Head of World Vision Affairs, Me to We Organization Liaison), Concert Band – Clarinet, Student Music Council (Fundraiser, International Trip Coordinator), Track and Field – Long-distance run.",F,0,"Grandfather was a Harvard man, and first generation college on my mom’s side, but idk if that counts...",0,30000,"AMAZING. Seriously, we had SO much in common, and it was basically just a really fun conversation – not really many “questions”, just expanded on what I talked about. He made some very nice comments at the end, (“They would be lucky to have you.”) so I walked out feeling really great about it! Those words are very comforting to me now, as well. <span class=""Emoticon Emoticon1""><span>:)</span></span>","Created a company in grade 5, called Boost Your Business, performing a range of bookkeeping, business consulting and website design services for companies. (2005-current)","Didn’t apply anywhere else in the US, but...",0.1,2000,"[640, 670]","Small, rural, in the middle of nowhere. I’m pretty sure no one from my school has ever even applied to Ivy leagues... Actually, I don’t think anyone else has ever applied to schools in the US, at all!",Ontario,"Essays, International award, some EC’s?","Went to Kenya to build a school, managed my environmental organization, trained for track team","Samaritan’s Purse Operation Christmas Child Volunteer (November 2009 – current), Overseas Volunteer in Kenya (July 2011), Emergency Room Volunteer at St. Mary’s General Hospital (March – May 2011)","Test scores, I guess... though to be honest I was pretty happy with them, as my practice scores were MUCH lower. Also, my small school and their lack of programs and resources was probably a weak point.","I tried to let my voice really shine through in my essays, and everything I did in my ECs were things that I really enjoyed."
9,0,"[5, 5, 5, 5, 5, 3]","National AP Scholar w/Distinction, National Merit Commended and Hispanic, Tennis MVP",,,"AP Bio, AP Government, AP MacroEco, AP Calc BC, AP English Lit, AP Euro History, AP Physics C",W,I actually didnt think they were too hot.,hispanic,"Senior Class Officer, Varsity Tennis Captain, a few UIL events, heavily involved in my church",M,4.0,URM,0,0,nope,none,"Accepted at Columbia, UChicago, and Johns Hopkins.",0.0068870523416,2250,"[700, 760, 800]","Public, 3500ish kids",Texas,I'm alright at stuff. Not good but also not bad.,Do sleeping and eating count?,I had a substantial amount of hours for a lot of different things,EC's and essays.,"Did not cure cancer, duh!"
