,gpa,act,sat1,test_score,ap_count,ap_mean,sat2_count,sat2_mean,urm,first_generation,ec_count,decision,gender_F,gender_M,school_brown,school_columbia,school_cornell,school_dukeres,school_harvard,school_mitres,school_penn,school_princeton,school_stanford,school_uchicago,school_yale,test_type_act,test_type_sat,ethnicity_african,ethnicity_asian,ethnicity_caucasian,ethnicity_hispanic,ethnicity_indian,ethnicity_urm,country_US,country_international
2646,3.81,32.0,2237.40362087,2120,9.0,4.33333333333,0.0,757.780283204,1,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0
2647,3.9,33.3991698374,2360.0,2360,9.0,4.22222222222,3.0,793.333333333,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
2648,3.9,33.3991698374,2360.0,2360,9.0,4.55555555556,3.0,766.666666667,0,0,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
2649,3.99,34.0,2240.0,2250,5.0,5.0,3.0,783.333333333,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2652,3.87,35.0,2237.40362087,2330,2.0,4.0,2.0,780.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
2654,3.96,34.0,2237.40362087,2250,10.0,4.3,3.0,790.0,0,0,5,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
2656,3.98,36.0,2237.40362087,2390,7.0,4.28571428571,3.0,773.333333333,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2657,3.8795,35.0,2237.40362087,2330,4.0,4.0,0.0,757.780283204,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0
2658,3.86143710629,33.0,2237.40362087,2180,1.0,5.0,0.0,757.780283204,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2659,3.86143710629,33.3991698374,2300.0,2300,0.0,4.45675812368,1.0,800.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
2660,3.86143710629,32.0,2237.40362087,2120,4.0,4.25,0.0,757.780283204,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2661,3.86143710629,33.3991698374,2210.0,2210,0.0,4.45675812368,2.0,730.0,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
2662,4.0,32.0,2237.40362087,2120,6.0,4.0,2.0,735.0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0
2663,4.0,35.0,2237.40362087,2330,4.0,5.0,2.0,800.0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
2664,3.86143710629,35.0,2237.40362087,2330,0.0,4.45675812368,2.0,800.0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2665,3.85,33.0,2090.0,2180,7.0,4.42857142857,3.0,753.333333333,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
2667,4.0,33.0,2237.40362087,2180,6.0,4.0,1.0,800.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2669,3.9,36.0,2237.40362087,2390,2.0,4.45675812368,3.0,760.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
2670,3.88,35.0,2237.40362087,2330,0.0,4.45675812368,2.0,750.0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
2671,3.4,27.0,2237.40362087,1820,0.0,4.45675812368,0.0,757.780283204,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
2672,3.8,33.3991698374,2200.0,2200,0.0,4.45675812368,2.0,755.0,0,0,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
2675,3.96,33.3991698374,2340.0,2340,1.0,4.45675812368,3.0,776.666666667,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
2676,3.96,33.3991698374,2170.0,2170,0.0,4.45675812368,2.0,705.0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
2677,3.98,34.0,2237.40362087,2250,0.0,4.45675812368,1.0,760.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
2678,3.58,36.0,2237.40362087,2390,5.0,3.4,0.0,757.780283204,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2680,3.83,34.0,2237.40362087,2250,1.0,4.0,0.0,757.780283204,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2682,3.96,35.0,2237.40362087,2330,2.0,5.0,3.0,723.333333333,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
