,act,gpa,ap,ib,sat1,sat2,income,rank,gender,ethnicity,decision,state,country,urm,first_generation,editor-in-chief,founder,president,captain,siemens,intel,presidential_scholar,national_merit,ap_scholar,aime,imo,national_achievement,school
0,0,0.0,0,0,0,0,N/A,0.0,,,R,,,,,,,,,,,,,,,,,yale
1,0,4.0,"[5, 5, 5, 5, 5, 5]",0,2350,"[800, 800, 750]",upper-middle,0.0,M,,R,md,US,,,,,,,,,,True,,,,,yale
2,0,4.0,"[5, 5, 5, 5, 3, 4, 5, 5, 5, 5, 5, 4]","[6, 7]",0,"[800, 760, 720]",middle,0.00340136054422,F,asian,D,fl,US,,,,,,,,,,,,,,,yale
3,0,3.5,0,0,2320,"[800, 800, 780]",N/A,0.0,M,indian,D,,US,,,,True,True,,,,,,,,,,yale
4,0,0.0,0,0,0,0,upper-middle,0.0,F,asian,D,tx,US,,,,,,,,,,,,,,,yale
5,34,3.93,"[5, 5, 5, 1, 3]",0,0,"[800, 770, 700]",N/A,0.00651465798046,F,caucasian,D,ny,US,,,True,,True,,,,,True,True,,,,yale
6,33,4.0,"[5, 4, 4, 4, 5, 5, 5, 4]",0,2230,"[760, 750]",N/A,0.0,M,asian,D,ca,US,,,,,,,,,,,,,,,yale
7,35,4.0,"[5, 4, 5, 5, 5, 5, 5]",0,2310,"[800, 770]",upper,0.00833333333333,F,caucasian,D,sc,US,,,,True,True,True,,,,True,True,,,,yale
8,36,0.0,0,"[7, 7]",0,"[800, 800]",N/A,0.03125,M,asian,A,,US,,,,,,,,,,,,,,,yale
9,0,3.9,[5],[7],2260,"[790, 740, 770]",N/A,0.0,M,asian,D,,US,,,,,,,,,,,,,,,yale
10,35,4.0,"[4, 5, 4, 5, 1, 4]",0,0,"[800, 790]",upper-middle,0.0016051364366,M,caucasian,D,tx,US,,,,,,,,,,True,True,,,,yale
11,0,3.954,"[5, 5]",0,0,"[730, 740]",lower-middle,0.1,M,caucasian,D,ny,US,,,,,,,,,,,,,,,yale
12,35,4.0,[5],0,0,"[790, 770, 790]",middle,0.01,M,caucasian,A,oh,US,,True,,,,,,,,True,,,,,yale
13,0,4.0,"[5, 4]",0,2250,"[800, 780]",N/A,0.027027027027,,caucasian,D,ny,US,,,,,,,,,,True,,,,,yale
14,35,3.96,"[5, 5, 5, 5, 4]",0,0,"[800, 770]",upper,0.0,F,asian,D,ma,US,,,,,,True,,,,,,,,,yale
15,35,3.96,"[5, 5, 5, 5, 4, 4, 4, 3]",0,0,[],middle,0.00384615384615,F,hispanic,A,il,US,True,,,,True,,,,,,,,,,yale
16,36,3.97,"[5, 5, 5, 4, 4, 4]",0,0,"[800, 720]",lower-middle,0.0142857142857,M,caucasian,A,,,,,,,,,,,,,True,,,,yale
17,0,3.94,0,0,0,0,N/A,0.1,M,asian,,ca,US,,,,,,,,,,,,,,,yale
18,35,3.99,"[5, 5, 5, 5, 5, 5]",0,0,"[790, 790]",upper-middle,0.0,F,hispanic,A,ca,US,True,,,,,,,,,,,,,,yale
19,36,3.8,"[4, 5, 5, 5]",0,0,"[800, 780]",upper-middle,0.0,F,asian,A,ma,US,,,,True,True,True,,,,True,,,,,yale
20,0,4.0,"[5, 5, 5, 5, 5, 4, 4, 4]",0,2370,"[800, 800]",middle,0.0112359550562,M,,A,ga,US,,,,,,,,,,,,,,,yale
21,0,4.0515,"[5, 5, 5, 5]",0,0,"[800, 770]",upper,0.0114942528736,M,caucasian,A,tx,US,,,,True,True,True,,,,True,,,,,yale
22,34,4.0,"[5, 5, 5, 5]",0,0,"[800, 770]",N/A,0.0,F,caucasian,A,in,US,,,,,,,,,,,,,,,yale
23,0,4.0,"[5, 4]",0,2400,"[800, 800, 770, 760]",middle,0.07,F,asian,D,tx,US,,,,,,,,,,,,,,,yale
24,36,4.0,"[5, 5, 5, 5]",0,0,[],lower-middle,0.0166666666667,F,caucasian,D,tn,US,,,,,True,,,,True,True,,,,,yale
25,0,4.0,"[5, 4]",0,0,[],middle,0.0,M,caucasian,A,ca,US,,True,,,,,,,,True,,,,,yale
26,36,4.0,"[4, 4, 5, 4, 4]",0,0,"[800, 790]",N/A,0.0,F,asian,D,,,,,,True,,,,,,True,,,,,yale
27,32,3.8,"[5, 5, 5]",0,0,"[790, 720]",N/A,0.0,F,caucasian,,ct,US,,,,,True,True,,,,,True,,,,yale
28,34,4.0,"[3, 5]",0,2320,"[790, 690]",upper-middle,0.0,F,,A,tx,US,True,,,,True,,,,,,,,,,yale
29,35,4.0,"[5, 5, 5, 5, 5, 4, 1, 4, 4]",0,0,"[800, 800]",N/A,0.00952380952381,,caucasian,A,tx,US,,,,,True,,,,,True,True,,,,yale
30,32,3.95,"[4, 4, 3]",0,0,[],N/A,0.015,M,african,A,mo,US,True,True,,,,,,,,,,,,,yale
31,33,3.8,0,0,0,"[780, 730]",N/A,0.0553846153846,,caucasian,A,tx,US,,,,,,,,,,,,,,,yale
32,0,4.0,"[5, 5, 5, 5, 5, 5, 4, 4, 4, 2, 4]",0,2400,"[800, 800, 760]",middle,0.00142857142857,F,asian,A,,US,,,,True,True,,,,,,,,,,yale
33,0,4.0,"[5, 4]",0,2330,"[800, 790, 770, 760]",N/A,0.0666666666667,M,caucasian,D,ny,US,,,,,,,,,,,True,,,,yale
34,0,4.0,"[5, 1, 5, 4, 4, 4, 2, 3]",0,0,"[750, 740]",upper,0.0,F,caucasian,A,ny,US,,,,,True,True,,,,,,,,,yale
35,0,3.94,"[4, 5, 5]",0,0,"[800, 760, 750]",upper,0.1,M,indian,D,ca,US,,,,,True,,,,,True,True,,,,yale
36,33,3.9,"[12, 13, 4, 5]",0,0,[720],middle,0.002,M,asian,,fl,US,,,,,,,,,,,,,,,yale
37,29,3.98,"[5, 4, 3, 3]",0,0,"[750, 690]",middle,0.00276243093923,F,hispanic,A,ca,US,,True,,,,,,,,,True,,,,yale
38,34,3.98,"[4, 3, 4, 4]",0,0,0,N/A,0.05,M,caucasian,A,,,,,,,,,,,,,,,,,yale
39,0,3.8,"[5, 4]",0,2380,"[780, 770]",upper-middle,0.0,M,caucasian,A,ny,US,,,,,True,,,,,,,,,,yale
40,32,4.0,[3],0,2350,"[770, 770]",middle,0.0,F,indian,A,fl,US,,,,,True,True,,,,,,,,,yale
41,0,0.0,0,0,0,0,N/A,0.0,,,A,,,,,,,,,,,,,,,,,yale
42,34,4.0,[1],0,0,0,lower,0.00485436893204,M,caucasian,A,wy,US,,,,,,,,,,,,,,,yale
43,0,0.0,0,0,0,0,N/A,0.0,,,R,,,,,,,,,,,,,,,,,yale
44,0,3.88,[5],0,2280,"[700, 800, 720]",upper-middle,0.0,M,caucasian,W,co,US,,,,,True,True,,,,,True,,,,yale
45,0,3.87,"[3, 5, 3]",0,2220,"[790, 770]",middle,0.0,,african,R,nj,US,,,,,,,,,,,,,,,yale
46,0,0.0,0,0,0,0,N/A,0.0,,,A,,,,,,,,,,,,,,,,,yale
47,35,4.0,"[5, 5, 5, 5, 5, 5, 5, 5, 5]",0,2400,"[800, 800, 800, 800, 790]",upper-middle,0.002,M,asian,W,ks,US,,,,,True,True,,True,,True,True,,,,yale
48,0,4.0,"[4, 4, 4, 5, 5]",0,2180,"[710, 790, 750]",lower-middle,0.0045871559633,M,,A,az,US,,,,,,,,,,,True,,,,yale
49,33,0.0,"[5, 5, 5, 1, 4]",0,2270,"[800, 790, 780]",upper-middle,0.1,F,caucasian,R,ny,US,,,,,,,,,,,,,,,yale
50,0,3.9,[5],0,2310,"[800, 770, 760, 740]",lower,0.00111111111111,F,asian,W,pa,US,,,,,,True,,,,True,True,,,,yale
51,33,3.94,"[4, 4, 6]",0,2040,[],middle,0.0575221238938,F,caucasian,W,,US,,,,,,,,,,True,,,,,yale
52,0,4.0,[5],0,2360,"[800, 740]",upper,0.05,M,hispanic,A,fl,US,True,,,,True,True,,,,True,True,,,,yale
53,0,0.0,0,0,2260,[2400],N/A,0.0,M,,R,,US,,,,,,,,,,,,,,,yale
54,0,3.92,"[3, 5, 3]",0,1980,"[720, 540]",lower,0.0,F,caucasian,A,or,US,True,True,,,True,,,,,,True,,,,yale
55,35,3.96,"[5, 4, 3]",0,0,"[800, 760]",middle,0.05,F,caucasian,R,sc,US,,,,,True,,,,,,,,,,yale
56,0,3.81,"[5, 5, 5, 4]",0,2200,"[750, 760, 700]",upper-middle,0.0,,caucasian,A,ca,US,True,,,,,,,,,True,True,,,,yale
57,34,4.0,"[5, 4, 3]",0,2010,"[710, 720, 720]",lower-middle,0.00333333333333,M,caucasian,A,ca,US,True,,,True,True,True,,,,,,,,,yale
58,34,4.0,"[5, 5, 4, 4, 3, 3, 3]",0,0,"[770, 710]",lower,0.01,M,asian,A,nj,US,,,,,,,,,,,,,,,yale
59,32,4.0,0,0,1780,[],lower-middle,0.04,F,caucasian,A,oh,US,,True,,,,,,,,,,,,,yale
60,34,3.88,"[5, 4, 5, 4, 3]",0,2040,"[690, 670]",N/A,0.0208333333333,M,african,W,il,US,True,,,,,,,,,,True,,,,yale
61,0,4.0,[5],0,2310,"[780, 690]",N/A,0.1,M,asian,R,,US,,,,,True,,,,,,,,,,yale
62,0,3.98,"[5, 5, 5, 5, 5, 5]",0,2340,"[800, 780, 770, 760, 760, 720, 710]",upper-middle,0.1,F,caucasian,A,ca,US,,,,True,,True,,,,,True,,,,yale
63,35,3.6,"[5, 5, 4, 5, 4, 1, 4, 5, 4]",0,0,"[800, 740]",middle,0.0,M,,R,,,,,,,,,,,,True,True,,,,yale
64,33,3.8,[4],0,2090,"[700, 740]",middle,0.00555555555556,F,caucasian,W,co,US,,,,,True,True,,,,,,,,,yale
65,0,0.0,0,"[7, 7, 7, 7, 7]",2360,"[800, 800, 800]",upper-middle,0.02,M,asian,A,,US,,,,,,,,,,,,,,,yale
66,0,4.0,0,0,2260,"[770, 780]",lower-middle,0.02,M,indian,A,nj,US,,,True,,True,,,,,,,,,,yale
67,33,0.0,"[4, 4, 4, 5]",0,0,"[710, 700, 650]",upper,0.0,M,african,A,,,True,,,True,,True,,,,,True,,,,yale
68,34,3.98,"[5, 5, 4, 4, 4, 3, 3]",0,0,"[700, 660]",upper-middle,0.02,F,,A,,US,,,,,,,,,,,,,,,yale
69,0,0.0,0,0,0,0,N/A,0.0,,,R,,,,,,,,,,,,,,,,,yale
70,0,4.0,0,0,0,[],middle,0.00561797752809,F,caucasian,D,il,US,,,,,,True,,,,,,,,,yale
71,0,3.9,"[5, 4, 5, 5, 5, 5, 4]",0,2300,"[740, 750]",upper-middle,0.0109649122807,F,asian,D,pa,US,,,,,,,,,,True,True,,,,yale
72,35,4.0,"[5, 5, 5, 5, 5, 4, 4]",0,2240,"[800, 800]",middle,0.0075,M,asian,D,va,US,,,,True,True,True,,,,True,,,,,yale
73,34,4.0,"[5, 5, 5, 4, 4, 4, 4, 4, 4, 4, 3]",0,2240,"[800, 730, 740]",middle,0.0027027027027,F,asian,D,nc,US,,,,,,,,,,,,,,,yale
74,0,4.0,"[5, 5, 5, 1, 5, 5, 4, 5, 4]",0,2310,"[800, 770, 750]",upper-middle,0.00444444444444,M,caucasian,,md,US,,,,,,,,,,True,True,,,,yale
75,34,4.0,0,0,0,0,N/A,0.0027027027027,F,caucasian,D,,,,,,,,,,,,,,,,,yale
76,35,4.0,"[5, 5, 5, 5, 4]",0,2360,"[800, 720]",upper-middle,0.01,M,caucasian,D,tx,US,,,,,True,,,,,True,True,,,,yale
77,0,4.0,"[10, 5, 4, 4, 4]",0,2360,"[800, 760]",middle,0.000706214689266,F,asian,A,tx,US,,,,,True,,,,,,,,,,yale
78,32,4.0,"[4, 5, 5]",0,0,"[720, 680]",N/A,0.00549450549451,F,caucasian,A,ct,US,True,True,,True,True,,,,,,,,,,yale
79,0,4.0,"[4, 4, 5, 5, 5, 5]",0,2280,"[780, 760]",upper-middle,0.1,M,caucasian,A,tx,US,,,,,True,True,,,,,,,,,yale
80,35,4.0,"[4, 5, 4, 5]",0,0,"[700, 790]",N/A,0.0,F,indian,D,ny,US,True,,,,,,,,,,,,,,yale
81,0,4.0,"[5, 5, 5, 5, 5, 5, 5, 5]",0,2380,"[800, 790]",N/A,0.003125,F,asian,D,md,US,,,,,True,True,,,,True,,,,,yale
82,36,0.0,"[5, 4, 5, 5, 5]",0,0,"[800, 760]",N/A,0.0,F,,A,ca,US,,,,,,,,,,,,True,,,yale
83,0,3.64,"[5, 5, 5]",0,2400,"[790, 780]",upper-middle,0.0,M,caucasian,D,pa,US,,,,,,,,,,True,True,,,,yale
84,35,4.0,[5],0,2320,"[790, 800, 800]",N/A,0.00649350649351,F,asian,A,ca,US,,,,,True,,,,,,,,,,yale
85,0,3.91,0,"[6, 5]",2180,"[710, 710]",lower-middle,0.0,F,african,A,ga,US,,,,,,,,,,,,,,,yale
86,36,4.0,"[5, 1, 4]",0,0,"[790, 750]",N/A,0.02,M,caucasian,A,fl,US,,,,,,,,,,,,,,,yale
87,0,4.0,"[5, 5]",0,2360,"[800, 760]",upper-middle,0.0,F,asian,D,,US,,,True,,,,,,,,,,,,yale
